Date,003B70,10646E,1490F3,159AE4,275300,2FEA66,315EB0,37727A,420168,4FB770,51D876,56EA2B,6284B5,6B236C,6BF593,7999F3,7C4168,8EF425,900356,A4386C,A80FE0,AE4EEB,AFEC35,B5DE80,CE4FD9,DB30C3,DB7014,DC5299,F67165,FF4BA4
2023-06-12,52.4937,27.5402,96.1635,16.9619,98.8539,171.8987,711.0664,37.6652,47.0146,128.926,78.35,106.5628,51.281,30.5526,15.1676,42.06,216.1987,136.1452,96.4339,18.4676,174.8674,59.3109,256.9927,54.4168,77.1432,109.5688,85.5634,102.7795,211.0704,27.6636
2023-06-13,52.6831,27.6603,95.8258,16.8744,99.2316,173.3195,713.6225,37.7893,47.4901,129.3872,79.24,107.4963,51.2901,30.9253,15.0127,41.9139,219.1199,136.992,97.3109,18.5121,177.1488,59.6181,257.2906,54.5341,77.2752,111.1534,85.0429,103.312,213.2737,28.313
2023-06-14,52.6745,27.7804,97.4235,16.9006,99.5623,174.3095,731.7227,38.2238,46.8849,128.5352,78.39,107.373,52.1731,30.9435,15.0299,42.2882,219.3967,136.7424,97.2582,18.4231,179.0035,59.9614,256.4782,54.9223,76.8886,111.9961,84.639,102.605,212.4907,28.313
2023-06-15,52.7176,27.9177,97.3311,16.9707,101.7205,174.6486,735.3351,38.1528,47.7494,130.7414,78.67,106.6949,52.5778,31.2162,14.7286,42.1147,223.3394,137.4288,97.2758,18.4765,181.6402,59.9433,259.6557,54.9223,75.5779,112.2914,85.1775,102.9539,213.7745,28.5356
2023-06-16,52.8553,27.7461,97.1372,17.032,99.7364,176.4086,734.3919,38.4986,47.5852,130.293,77.81,101.675,52.2099,31.2707,14.677,42.0691,220.1127,138.4272,98.9158,18.3964,180.3499,60.2776,259.1682,55.1931,75.8231,113.1309,86.0929,103.8444,215.7047,28.7583
2023-06-20,51.9427,27.3772,96.8786,16.8393,97.8567,174.3461,735.9294,38.0287,46.7811,128.9657,76.94,100.4332,51.0049,31.2616,14.2982,41.4665,214.4135,136.9296,97.1092,17.9603,177.6945,59.6633,257.2906,54.7598,74.701,111.4795,84.5852,102.4398,213.2282,28.9995
2023-06-21,51.3228,27.0471,96.3614,16.7255,97.6043,173.5945,724.3845,37.6386,46.8417,130.9477,76.72,99.7023,51.0969,31.0707,14.324,41.0466,211.1581,135.2359,97.1092,17.6844,177.0307,59.1845,259.764,53.839,74.4841,111.3411,83.8589,101.8614,211.8443,28.6655
2023-06-22,51.2022,27.0298,97.405,16.5066,95.4201,169.5704,704.5677,36.5391,45.2163,128.4365,76.24,97.6239,50.453,30.5162,14.2035,40.6175,212.4851,132.9004,95.6621,17.3907,174.3099,57.9829,255.7379,53.162,73.9843,109.4684,82.8966,99.4101,204.852,28.6191
2023-06-23,50.5909,26.6042,96.1859,16.13,95.2373,166.2521,703.7376,35.6702,44.5247,127.3155,75.23,96.065,49.6436,29.7617,13.9797,40.5992,212.9624,129.8251,94.4869,17.1504,173.9359,56.924,255.9907,52.3585,71.9287,107.8447,81.798,97.1883,200.318,28.2109
2023-06-26,51.6155,27.273,99.0027,16.673,96.4121,170.5145,716.7822,36.7874,48.9252,130.6786,75.56,100.8472,50.2507,30.5435,14.1433,41.8774,214.1557,133.4442,97.4073,17.6844,175.8994,58.8409,260.739,53.7036,75.031,109.7913,83.8316,99.8324,208.1206,28.6841
2023-06-27,51.8221,27.0037,100.6835,16.9707,96.9081,172.247,721.7624,37.4258,49.9281,131.9521,77.97,102.0537,51.2717,30.9707,14.3154,42.8725,215.2727,135.0042,99.1613,17.9336,175.516,59.5438,261.3348,54.4619,76.1343,111.5072,85.6746,100.7505,210.3421,29.5375
2023-06-28,51.7877,26.9255,101.21,16.9094,98.84,171.1929,725.5163,37.3992,49.1154,132.7324,78.47,99.1034,51.0233,31.1434,14.2293,42.5256,217.0578,133.9523,98.9158,17.6399,179.1531,59.1239,260.9917,54.48,75.493,111.2581,85.6837,99.1714,209.6501,30.7992
2023-06-29,51.848,27.2556,103.3249,17.2509,99.2752,173.9026,732.9017,38.0198,50.2327,132.7055,80.3,100.9556,51.658,31.0253,14.4986,43.475,219.2631,135.5568,100.6434,17.7823,180.2003,59.7173,260.5133,55.6806,75.8042,112.0884,87.4722,100.6448,214.3497,30.9198
