Date,12E454,251988,3C7F5F,4A6F00,4A6F00_2,57DDB9,622DBE,8A8E41,9C25FF,A01664,A13375,A13375_2,A18D3C,ADF092,C8257F,C83B88,D88EF3,DB06B0,DD1BA1,DD1BA1_2,E30B34,ECD263
2023-07-27,309.5522,12.6706,14.4423,128.3299,128.8037,134.5293,42.9792,28.3003,96.93,149.85,31.8663,29.7775,83.9653,12.29,76.3335,39.4811,400.99,135.6064,19.1848,18.8964,30.2548,41.317
2023-07-28,323.2268,12.6182,14.7207,131.4836,131.9179,135.4814,44.2604,28.7052,89.33,151.6,32.0011,29.8638,84.7227,12.79,76.5282,39.3767,396.8,135.9417,19.3027,19.0043,30.1192,42.578
2023-07-31,316.3945,12.6794,15.3929,131.6224,132.017,132.5,45.1437,28.7474,87.75,152.94,32.2033,30.1421,87.4377,13.07,78.4472,39.4028,405.19,134.4624,19.7445,19.4358,30.9603,43.897
2023-08-01,320.476,12.4873,15.4217,130.4621,130.8071,132.0095,44.7943,28.1991,87.1,151.79,32.0203,29.9694,87.5754,12.87,76.8063,39.4463,411.23,134.2356,19.7543,19.426,30.7161,43.862
2023-08-02,312.1342,12.5309,14.932,127.3183,127.5838,130.5861,44.406,28.1063,85.97,147.22,32.0877,29.9982,84.89,12.55,76.6395,39.2548,419.07,124.5614,19.6757,19.2789,30.5624,42.97
2023-08-03,311.0219,12.3039,14.4903,127.3878,127.7127,130.1918,44.804,27.887,86.25,145.75,31.7315,29.7391,84.0932,12.89,75.9442,39.3244,422.78,122.1158,19.7739,19.3279,30.0197,43.1
2023-08-04,308.5789,12.2253,15.0088,127.0506,127.4846,129.4513,42.5424,27.5158,87.73,142.18,31.8278,29.8254,84.89,13.97,75.6475,39.0371,418.86,120.8929,19.931,19.4946,30.689,43.16
2023-08-07,314.3686,12.234,15.4505,130.4423,130.8567,131.4229,42.1639,27.4399,89.22,141.18,31.8471,29.883,85.4113,14.47,75.5641,39.5682,419.43,122.3327,20.2648,19.8182,30.7975,44.076
2023-08-08,310.4757,12.3825,15.7002,130.3134,130.7575,131.0478,43.4742,27.4737,87.88,140.14,33.6281,31.5432,86.6901,14.42,74.5072,39.5247,419.78,120.9126,20.4121,19.9849,30.1192,43.83
2023-08-09,303.0972,12.4611,14.9992,128.5878,129.0814,132.4423,44.3769,27.5918,86.3,139.4,33.3585,31.2169,86.0605,14.11,74.4609,39.4202,419.95,120.2322,20.4023,19.9457,30.1101,42.89
2023-08-10,303.6235,12.3737,14.8552,128.6175,129.1409,132.4616,44.0469,27.8532,86.99,138.46,33.2045,30.9674,90.2608,14.12,73.9974,39.9861,428.29,120.5774,20.3336,19.9163,30.092,42.998
2023-08-11,299.5519,12.5484,14.6631,128.4886,129.1012,133.0482,43.6392,28.14,86.61,140.2,33.3104,31.1401,87.5655,13.7,74.0808,40.0731,427.94,120.5083,21.2958,20.8282,29.9654,42.166
2023-08-14,304.0704,12.4523,14.3366,130.2439,130.7476,134.1638,43.746,28.3088,86.16,142.38,32.5787,30.478,87.359,13.53,74.1179,40.5346,427.28,121.0704,21.6885,21.2009,29.8388,42.778
2023-08-15,299.8597,12.3475,14.7591,128.7068,129.2004,133.279,44.1925,28.0557,86.11,139.51,32.7424,30.6123,85.6376,13.42,74.2199,40.9437,428.08,119.7391,20.9914,20.5046,29.5041,42.37
2023-08-16,292.2528,12.3126,14.3942,127.6357,128.0499,132.9617,43.4839,28.0641,85.6,140.27,32.338,30.1901,84.9392,13.19,73.7192,40.343,426.77,119.0094,21.1976,20.7008,29.2147,41.545
2023-08-17,283.1164,12.234,13.9717,128.8456,129.3888,131.1536,43.251,27.887,84.56,138.08,31.7219,29.6815,84.5162,12.76,72.9034,40.256,424.83,117.1159,20.8048,20.3772,28.9343,40.3
2023-08-18,281.2892,12.269,14.2214,126.4059,127.0581,130.9324,43.0957,27.9882,84.39,137.46,32.2033,30.027,84.5555,12.78,74.0808,39.8381,420.47,116.7215,20.8048,20.3576,29.2599,40.453
2023-08-21,287.8931,12.3126,14.0581,127.3084,127.8714,130.3649,43.086,27.8364,83.96,139.56,31.9626,29.7391,84.4768,12.65,73.5431,39.9251,420.08,116.9582,20.6576,20.1908,29.2056,40.829
2023-08-22,285.6091,12.4523,13.9621,128.0126,128.6251,129.9899,43.5033,28.0051,84.25,140.48,31.6353,29.3552,84.3883,12.54,73.367,39.6727,413.38,117.8753,20.7459,20.2595,29.1785,41.317
2023-08-23,292.2031,12.365,14.4038,131.2753,132.1162,131.1151,44.076,27.9966,84.09,144.55,31.7123,29.4032,84.4277,12.7,74.2477,39.5769,415.28,119.6405,20.9423,20.4654,29.5313,42.755
2023-08-24,284.7649,12.3563,14.1446,128.7068,129.3491,128.2202,43.3092,28.1569,83.7,139.66,31.3657,29.0673,81.1225,12.7,73.5153,39.3854,411.99,118.25,20.7263,20.2399,29.2237,40.693
2023-08-25,283.5236,12.3213,13.8661,128.8059,129.6169,128.2491,42.5036,28.1316,84.79,141.42,31.2213,28.933,81.998,12.27,74.0344,39.5856,416.78,118.0331,20.8147,20.3379,29.2418,41.603
2023-08-28,288.2506,12.4087,14.1542,129.9266,130.7079,130.0091,42.9501,28.3003,84.84,140.8,31.5486,29.2017,82.7849,12.79,74.5721,40.0296,432.0,118.8516,20.9325,20.485,29.4318,41.806
2023-08-29,295.9271,12.8977,14.3654,133.4572,134.3775,131.5094,43.4742,29.2619,84.28,141.39,31.9368,29.5404,83.021,12.95,74.8224,40.7261,451.1,119.4738,21.2467,20.8086,29.6941,42.999
2023-08-30,293.0571,12.8628,14.4999,134.7563,135.8057,132.1346,44.8428,29.2198,84.3,141.83,32.4123,29.8986,82.903,13.11,74.9893,41.0221,439.51,119.0689,21.4627,20.9165,29.7755,43.467
2023-08-31,293.8417,12.9151,14.4903,135.0439,136.2222,131.0382,45.4931,29.5066,84.53,142.2,32.0823,29.5404,82.3128,13.14,75.1006,40.7087,438.12,118.5059,21.6001,21.0734,29.7755,43.368
2023-09-01,294.3283,12.7929,13.1075,134.5381,135.6768,132.0769,45.0952,29.4053,84.05,141.83,30.0639,27.8273,80.3061,11.56,74.3589,39.812,422.32,119.059,21.3939,20.8675,29.7663,43.988
2023-09-05,298.0722,12.6444,13.1075,134.6472,135.5875,131.6537,44.6293,28.933,82.86,141.18,30.5005,28.1176,79.8635,11.64,73.8583,38.7934,408.99,120.0072,21.3056,20.7792,29.3828,44.868
2023-09-06,297.099,12.758,12.8674,133.3481,134.2585,128.9993,43.9304,28.8317,80.7,140.97,30.452,28.0595,79.6569,11.49,74.3218,39.1155,419.98,119.4146,21.3645,20.7988,29.5837,44.576
2023-09-07,296.6024,12.758,12.5025,134.1414,135.0817,132.0288,43.1733,28.5196,80.9,142.23,29.9474,27.5466,79.2536,11.03,73.7656,39.0371,416.98,119.4541,21.1485,20.5929,29.255,44.314
