Date,09F623,14BA06,164D72,16B183,2920D5,2B49F4,2D2D43,366A08,388E00,3FACA7,641F17,902670,940C3D,A43906,AA5C8E,CA212F,D0909F,D54E62,E15736,E21871,E70531,EAEBF3,FE89E0,HTA3J9,VERNOV,VISTRA
2023-07-07,53.8503,44.9292,49.6412,31.6634,199.8531,33.3934,111.3742,38.255,23.4579,90.3418,105.7679,22.943,31.3852,105.3225,14.6574,56.0911,130.9657,140.0316,119.2141,29.501,93.9161,72.6464,96.5485,89.8512,,25.9788
2023-07-10,54.0495,45.2419,49.8924,31.8176,199.8531,33.7876,111.2043,38.8138,23.7182,91.1504,103.6779,23.2163,31.4989,104.9328,14.6834,56.1772,132.5052,140.9668,120.7357,29.6633,95.309,72.3833,97.596,92.0844,,25.7453
2023-07-11,54.8637,46.5019,52.1535,33.813,206.6505,35.2142,113.2521,39.0739,24.5267,92.2315,106.753,23.7332,32.2573,108.4042,14.9433,57.9477,135.6232,143.5728,123.482,30.2401,96.4744,73.7742,100.486,92.8321,,25.8037
2023-07-12,55.7559,46.9894,52.7397,34.0216,209.0712,35.5896,113.2049,38.3225,24.6104,92.6313,105.9152,24.1819,32.6459,110.3167,15.1945,58.6846,137.2407,144.9529,125.616,30.7449,96.9478,74.2629,102.235,94.5046,,26.0372
2023-07-13,56.5787,47.0078,53.4282,35.0102,208.374,35.43,113.1672,37.966,24.5825,93.1945,106.3479,24.5136,32.8734,111.0962,15.2465,58.7994,136.1494,143.0189,125.5259,30.8801,95.1725,74.7892,103.3947,93.7274,,25.9886
2023-07-14,55.2015,44.9752,53.1584,33.2325,202.2931,34.6229,111.7422,36.81,23.6717,91.2685,104.4789,23.4893,32.5606,108.5319,14.9086,56.828,131.7939,139.4505,122.1494,30.0869,91.8951,73.3325,100.1587,93.4618,,25.6286
2023-07-17,54.9243,44.9936,52.5815,32.9513,200.4341,35.064,111.478,37.0508,23.7182,89.9784,104.6907,23.3721,32.845,108.3038,14.8393,56.7418,131.0534,139.3234,121.9783,29.7534,92.2956,73.0224,99.5508,94.6227,,25.4242
2023-07-18,55.7126,46.4559,53.0188,34.3572,204.4331,35.7679,112.7048,38.1876,24.5918,91.9045,106.265,24.1916,33.2147,112.0362,14.9693,57.4979,133.1483,139.6048,124.9857,30.0508,91.8769,73.746,101.7112,93.8258,,26.0567
2023-07-19,56.1023,46.5571,53.3724,34.4932,203.4455,34.7355,115.2339,38.4092,24.629,93.0855,108.6588,24.2599,33.3663,111.735,14.9779,57.5745,133.7427,140.4584,125.0667,30.0328,92.5141,73.9998,102.394,93.1961,,26.5918
2023-07-20,57.1071,47.2745,53.2793,34.6667,206.3794,34.2099,117.2534,39.3244,24.9821,94.53,111.1539,24.6111,32.8545,112.6932,15.2811,57.8616,136.7438,142.011,126.0752,30.2852,94.1437,74.7986,104.461,95.3212,,26.6307
