Date,013528,063384,14C7B2,14ED2B,1D1B07,2B7A40,2BA977,2E61CC,2F98A5,3DE4D1,543900,5CC29D,713810,719477,789ADD,78F9ED,7A10FF,859D62,95DC1F,9AF3DC,9CA619,9D2790,9D56F2,9F03CF,AD1ACF,B8EF97,C356AC,C4A432,CA1620,D09938,E61E5B,EB6965,FA40E2,FACF19,KENVUE
2023-05-24,167.047,84.5413,29.5105,179.9601,219.9037,67.4255,36.1507,136.3851,133.7904,122.5655,46.9715,103.0813,47.8089,146.3043,90.6885,55.2406,69.9651,59.191,46.6413,58.4702,76.0601,66.0163,82.1355,243.9675,46.6435,464.4953,33.0943,35.0291,81.4931,57.57,60.9127,72.1279,30.5642,27.2969,23.6667
2023-05-25,166.0622,87.4852,29.1684,181.1068,219.7523,68.2307,35.9255,135.509,132.5114,122.0223,46.8441,102.7324,47.3328,145.1038,90.5045,55.0774,69.6963,58.6068,46.0202,57.9498,75.5594,65.3215,81.6859,242.0248,46.6345,468.1419,32.7011,34.4437,80.09,57.33,59.9973,71.911,30.2765,26.5699,23.5593
2023-05-26,165.8635,88.1301,29.039,184.2721,220.4528,67.3145,35.8773,135.5183,132.007,121.3634,46.8896,103.2134,47.417,145.7911,90.9692,54.9958,69.6499,58.9707,44.5239,57.728,75.2644,65.516,81.4237,239.5523,46.8597,488.0683,32.7695,34.6508,80.1606,57.61,59.9591,71.8732,30.3724,26.6053,23.5324
2023-05-30,164.4992,87.7936,28.6599,182.4939,224.4097,66.1113,35.644,133.4492,130.4713,118.9326,45.8519,103.053,47.3005,143.8209,88.7911,54.7781,67.0913,58.9228,43.2534,57.2417,74.4507,64.4043,80.0093,238.2975,47.1931,488.8092,32.3507,34.5247,79.6047,57.75,59.1772,70.6849,29.8929,26.5345,23.0224
2023-05-31,164.7522,86.5787,28.7709,175.0005,230.0043,65.3893,35.7245,132.8154,132.034,119.5648,46.0157,104.8636,47.5628,144.9572,89.4977,56.0931,68.0554,59.1527,42.6605,57.4712,75.2465,64.8027,80.2997,241.3928,46.0474,492.2057,32.667,34.4527,79.4282,58.62,59.4919,70.1474,30.3986,26.9246,22.4498
2023-06-01,165.7621,85.0647,28.8171,173.9164,229.7487,65.2968,35.8531,134.1762,130.5119,119.2532,46.1067,105.6841,47.7376,145.3604,89.7882,56.9057,68.2408,59.191,42.0299,56.8342,75.0051,66.0348,82.0325,241.3556,46.0201,493.2063,32.6413,36.2091,79.5606,59.36,59.7875,70.6378,30.0063,26.8801,22.6198
2023-06-02,167.4635,86.2422,29.076,179.0515,232.3236,66.6111,36.4563,136.5622,134.1867,121.1764,46.8532,106.8157,48.1943,147.8805,90.8143,58.3117,68.8527,61.3361,43.2157,58.0048,75.6309,67.2947,82.8568,242.5175,46.6839,493.1967,32.9148,36.7225,80.9901,59.48,60.5312,71.7224,30.6252,27.6515,22.8614
2023-06-05,167.5817,85.7376,28.9465,172.2048,231.1403,65.9632,35.9014,136.0216,134.1687,121.6484,46.9351,107.9473,48.5116,148.7328,91.6275,58.2569,68.8712,60.4072,43.4322,58.0995,76.2121,67.2021,83.1378,241.1883,45.9292,498.6426,32.8716,36.5333,79.4635,59.26,60.5026,71.911,30.5293,27.7047,22.5035
2023-06-06,165.1889,86.3824,28.7339,175.0956,229.5594,66.9998,35.9175,134.6702,131.7098,120.758,46.0521,107.0231,48.5051,145.3238,89.9334,59.4712,67.9349,59.8517,43.3569,57.5228,74.9067,67.5078,84.4397,237.2936,45.8655,496.7278,32.6384,36.4163,80.8489,58.33,59.4156,71.2697,29.9191,27.9529,22.5213
2023-06-07,163.8696,88.0273,28.9465,172.3664,230.3357,67.8976,36.2713,134.9591,133.6913,120.2059,41.9467,105.4389,48.5764,143.6559,89.5558,60.3933,66.9244,62.2302,42.7828,57.1355,72.8682,67.3411,85.0017,235.351,46.6748,491.8881,31.9129,36.3622,81.4049,56.9,59.7779,70.9207,29.7273,28.3075,22.4408
