"date","asset","adjClose"
"2023-06-08","013528",165.6802
"2023-06-09","013528",165.9077
"2023-06-12","013528",165.4982
"2023-06-13","013528",165.1707
"2023-06-14","013528",166.6537
"2023-06-15","013528",168.9647
"2023-06-16","013528",169.2649
"2023-06-20","013528",168.6008
"2023-06-21","013528",168.7099
"2023-06-22","013528",170.4568
"2023-06-23","013528",169.2922
"2023-06-26","013528",168.2186
"2023-06-27","013528",169.4287
"2023-06-28","013528",167.1359
"2023-06-29","013528",167.2997
"2023-06-30","013528",168.5189
"2023-07-03","013528",168.8646
"2023-07-05","013528",169.7562
"2023-07-06","013528",169.7744
"2023-07-07","013528",166.5718
"2023-07-10","013528",167.6818
"2023-07-11","013528",167.3907
"2023-07-12","013528",166.6537
"2023-07-13","013528",170.6206
"2023-07-14","013528",171.2393
"2023-07-17","013528",168.8919
"2023-07-18","013528",167.8183
"2023-07-19","013528",169.4651
"2023-07-20","013528",172.231
"2023-07-21","013528",173.0134
"2023-07-24","013528",173.7049
"2023-07-25","013528",174.1052
"2023-07-26","013528",174.3236
"2023-07-27","013528",171.5304
"2023-07-28","013528",173.1499
"2023-07-31","013528",170.5569
"2023-08-01","013528",169.9746
"2023-08-02","013528",171.3302
"2023-08-03","013528",170.2476
"2023-08-04","013528",167.9548
"2023-08-07","013528",170.0383
"2023-08-08","013528",167.8092
"2023-08-09","013528",167.3907
"2023-08-10","013528",167.1814
"2023-08-11","013528",167.4453
"2023-08-14","013528",167.0631
"2023-08-15","013528",164.9978
"2023-08-16","013528",164.8705
"2023-08-17","013528",162.3593
"2023-08-18","013528",162.1137
"2023-08-21","013528",161.0856
"2023-08-22","013528",159.8573
"2023-08-23","013528",162.0591
"2023-08-24","013528",161.2038
"2023-08-25","013528",163.2419
"2023-08-28","013528",163.997
"2023-08-29","013528",164.6157
"2023-08-30","013528",164.7522
"2023-08-31","013528",163.0204
"2023-09-01","013528",160.6382
"2023-09-05","013528",159.5753
"2023-09-06","013528",160.0976
"2023-09-07","013528",161.6277
"2023-09-08","013528",161.5086
"2023-09-11","013528",163.9459
"2023-09-12","013528",163.3411
"2023-09-13","013528",164.6331
"2023-09-14","013528",166.0533
"2023-09-15","013528",164.7797
"2023-09-18","013528",164.3582
"2023-09-19","013528",163.3869
"2023-09-20","013528",163.4419
"2023-09-21","013528",160.6932
"2023-09-22","013528",160.5924
"2023-09-25","013528",159.7311
"2023-09-26","013528",158.0727
"2023-09-27","013528",155.3697
"2023-09-28","013528",155.3056
"2023-09-29","013528",155.2506
"2023-10-02","013528",155.0032
"2023-10-03","013528",153.6563
"2023-10-04","013528",154.765
"2023-10-05","013528",146.6927
"2023-10-06","013528",146.8668
"2023-10-09","013528",147.8472
"2023-10-10","013528",150.6327
"2023-10-11","013528",149.0017
"2023-10-12","013528",144.8419
"2023-10-13","013528",146.6011
"2023-10-16","013528",147.5907
"2023-10-17","013528",146.9401
"2023-10-18","013528",148.4611
"2023-10-19","013528",147.1142
"2023-10-20","013528",146.6011
"2023-10-23","013528",146.6744
"2023-10-24","013528",148.6077
"2023-10-25","013528",148.7543
"2023-10-26","013528",147.893
"2023-10-27","013528",146.2529
"2023-10-30","013528",148.6902
"2023-10-31","013528",149.6064
"2023-11-01","013528",151.0633
"2023-11-02","013528",152.8592
"2023-11-03","013528",152.8225
"2023-11-06","013528",152.74
"2023-11-07","013528",153.1798
"2023-11-08","013528",153.3723
"2023-11-09","013528",152.2453
"2023-11-10","013528",152.9416
"2023-11-13","013528",153.7204
"2023-11-14","013528",154.032
"2023-11-15","013528",153.244
"2023-11-16","013528",153.6655
"2023-11-17","013528",152.795
"2023-11-20","013528",152.5751
"2023-11-21","013528",153.7479
"2023-11-22","013528",155.049
"2023-11-24","013528",155.1864
"2023-11-27","013528",154.2244
"2023-11-28","013528",154.7192
"2023-11-29","013528",153.1615
"2023-11-30","013528",155.3774
"2023-12-01","013528",155.7467
"2023-12-04","013528",156.1622
