date,0157B1,03B8CF,55018,61366,0624BE,063384,067779,06EF42,07EC43,095294
2004-06-09,2.5061,38.9174,51.9279,96.49,24.8536,23.6639,28.5925,16.0508,5.0568,35.1704
2004-06-10,2.4911,39.2865,51.4512,99.07,25.2737,23.7737,28.7583,16.0168,5.1158,35.3583
2004-06-14,2.4567,38.7989,51.5172,94.2,25.0437,24.1611,28.5328,15.6599,5.1559,34.5017
2004-06-15,2.4996,38.9812,51.9059,97.55,25.1313,23877,28.9242,15.9319,5.3986,34.5263
2004-06-16,2.5226,38.8445,52.2359,96.0,25.1455,23.2313,28.8976,15.6259,5.4954,34.3793
2004-06-17,2.4827,39.1544,52.7859,90.81,25.3484,23.7478,29.9922,15.8015,5.4887,34.4774
2004-06-18,2.4742,39.6829,52.3459,95.79,25.5177,24174,30.0188,15.8355,5.4564,35.2195
2004-06-21,2.4827,39.7695,51.9793,102.49,25.8359,23.9415,30.2775,15.7506,5.5321,35.4398
2004-06-22,2.4442,40781,51.8619,103.74,25.9104,24.3483,30.2974,15.8639,5.4764,36.0107
2004-06-23,2.5345,40.8038,51.8253,106.98,25.7278,24.6259,30.9144,16.4644,5.6501,36.5817
2004-06-24,2545,40.3618,51.4659,106.5,26.3171,25065,31.0072,16.6741,5.6256,37.1364
2004-06-25,2.5839,40.3983,51.5246,104.1801,26.4999,25.2523,31.1333,16827,5.7725,37.3404
2004-06-28,2.6632,40412,50.6226,100064,26.3983,24.91,31.1797,16.1415,5.8638,37.0793
2004-06-29,2.6792,40.9177,49.9626,100.42,25.9239,24.6647,31.1664,15.8355,5.6167,37487
2004-06-30,2.7136,41.0134,50.1459,101.81,26.2488,25.1425,31.1797,16.0905,5.6568,37.8705
2004-07-01,2.6218,40175,50.3146,98.18,25.8089,24.8713,31.7171,15.8412,5521,37.2422
2004-07-02,2.6233,39.8697,49.9332,99.9,25.4565,24.9617,31.7171,15.9885,5.5121,37.1364
2004-07-06,2556,39.8925,49.7572,98.33,25.5041,25.5363,31.6176,15.5239,5.4041,36.5001
2004-07-07,2544,40.2935,50.2119,94.79,25.4637,25.4976,31.5512,15.5069,5.3963,36.6142
2004-07-08,2.4692,39.9791,49.5372,101082,25.0638,25446,31.0139,14.7307,5.2716,36.1576
2004-07-09,2.4103,39.9381,48.7012,100.9301,24.8064,25.3168,30848,14.6571,5.5232,36.5653
2004-07-12,2.4467,40052,49.0166,103.0,24.9351,25.2845,30.9077,14.7591,5.3763,36.1738
2004-07-13,2.4742,39.8151,48.7012,112.55,25.0844,25.0973,30.6556,15.0933,5.6189,36.5165
2004-07-14,2.4692,40.1841,48.5325,112.8,24.5558,25.1683,30.45,14.7364,5.6189,36.4348
2004-07-15,2.4278,40.3801,48.4885,113.82,23.8578,25.3039,30.3903,14.8724,5.5877,36.3859
2004-07-16,2.3495,40.0247,48.4152,114.4,23.4378,25.5428,30304,15.0367,5.5477,35.7336
2004-07-19,2.2956,37.8421,47.8139,110.03,22.7944,25.0521,30304,14.7421,5.4842,36.8755
2004-07-20,2344,38.7306,48.6279,117.7399,23899,25.2135,30.4964,14.8724,5.4186,38.1967
2004-07-21,2.2327,38.0836,48.4005,126.96,23.1876,25.1812,30.1315,14.7364,5265,37.6093
2004-07-22,2.2856,38.1383,50.8206,131.53,23.6617,24994,30.0785,15099,5.2739,37.9275
2004-07-23,1.9943,37.6461,49.8452,127.92,23.14,24.9552,29.4482,15065,5.0891,37.2749
2004-07-26,1.9344,37195,50.0506,131.84,23.1671,24923,29.1895,14895,5748,37438
2004-07-27,1.9509,37.8421,50.2632,137.0301,24.3321,24.2773,30.1581,15.0537,6.1243,38.5474
2004-07-28,1894,37.3591,49.7206,137.3,24.2037,24.2063,30.5628,15.0537,6.0352,37.7643
2004-07-29,1.9245,37.4183,50.5859,137.22,24.8064,26.0787,31.0271,15.5919,6.1065,38.4496
2004-07-30,1.9414,37.5277,50.8352,135.9,24.9822,25.9108,30921,15.6542,6.1332,38.5393
2004-08-02,1.9105,38.0699,50.9819,130.0,25.1248,26.4597,30.7883,15.9205,6.0508,38.4006
2004-08-03,1.8761,37.7874,50.5419,135.7199,25.0366,25.8334,30.2908,15.9659,5.8861,37683
